Metric,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Ticker,Dec 2011,Mar 2019,Jun 2019,Sep 2019,Mar 2022,Jun 2018,Sep 2018,Dec 2018,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Dec 2005,Dec 2006,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015
Net Profit +,-1064,-1583,1423,919,3091,189,2998,1895,2729,-987,2449,3068,2176,INDIGO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,-27.62,-41.08,36.91,23.84,80.16,4.90,77.68,49.09,70.70,-25.54,63.38,79.38,56.31,INDIGO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,INDIGO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,224,243,281,325,288,279,354,385,311,300,343,388,309,INDIGOPNTS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,189,209,241,254,239,237,292,300,264,258,285,300,265,INDIGOPNTS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,35,34,41,72,49,42,62,85,47,42,57,87,44,INDIGOPNTS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,16%,14%,14%,22%,17%,15%,18%,22%,15%,14%,17%,23%,14%,INDIGOPNTS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,0,3,4,3,4,3,3,4,4,5,3,6,6,INDIGOPNTS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,0,0,0,0,0,1,1,0,1,1,1,2,1,INDIGOPNTS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,8,8,9,9,10,11,15,16,15,15,15,13,15,INDIGOPNTS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,27,28,35,65,42,33,50,73,36,31,45,79,35,INDIGOPNTS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,26%,-31%,26%,26%,26%,24%,25%,25%,25%,27%,20%,27%,25%,INDIGOPNTS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,20,37,26,49,32,25,38,54,27,22,36,57,26,INDIGOPNTS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,4.19,7.80,5.52,10.23,6.52,5.32,7.82,11.27,5.50,4.75,7.56,11.95,5.44,INDIGOPNTS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,INDIGOPNTS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue +,8182,8708,9457,10021,10730,11248,11572,12199,12547,12686,12801,10634,12264,INDUSINDBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,4057,4406,4962,5351,5863,6171,6277,6822,7139,7339,7573,7586,7624,INDUSINDBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,3877,3910,3950,4096,4237,4424,4618,4753,4947,5752,5726,6770,5989,INDUSINDBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financing Profit,248,392,545,574,630,653,677,623,460,-405,-498,-3722,-1350,INDUSINDBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financing Margin %,3%,4%,6%,6%,6%,6%,6%,5%,4%,-3%,-4%,-35%,-11%,INDUSINDBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,1932,2011,2076,2154,2210,2282,2396,2508,2442,2185,2355,709,2157,INDUSINDBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,INDUSINDBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,2180,2403,2622,2727,2840,2935,3073,3131,2902,1780,1857,-3013,807,INDUSINDBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,24%,-23%,25%,INDUSINDBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,1631,1805,1964,2043,2124,2202,2301,2349,2171,1331,1402,-2329,604,INDUSINDBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,21.04,23.29,25.32,26.34,27.38,28.34,29.59,30.18,27.88,17.09,18.00,-29.89,7.75,INDUSINDBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross NPA %,2.35%,2.11%,2.06%,1.98%,1.94%,1.93%,1.92%,1.92%,2.02%,2.11%,2.25%,3.13%,3.64%,INDUSINDBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net NPA %,0.67%,0.61%,0.62%,0.59%,0.58%,0.57%,0.57%,0.57%,0.60%,0.64%,0.68%,0.95%,1.12%,INDUSINDBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,INDUSINDBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,34470,36538,38318,37441,37933,38994,38821,37923,39315,40986,41764,40925,42279,INFY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,26606,27636,28951,28443,28869,29554,29684,29139,29878,31177,31649,31051,32336,INFY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,7864,8902,9367,8998,9064,9440,9137,8784,9437,9809,10115,9874,9943,INFY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,23%,24%,24%,24%,24%,24%,24%,23%,24%,24%,24%,24%,24%,INFY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,676,584,769,671,561,632,789,2729,838,712,859,1190,1042,INFY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,56,66,80,82,90,138,131,110,105,108,101,102,105,INFY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,950,1029,1125,1121,1173,1166,1176,1163,1149,1160,1203,1299,1140,INFY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,7534,8391,8931,8466,8362,8768,8619,10240,9021,9253,9670,9663,9740,INFY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,29%,28%,26%,28%,29%,29%,29%,22%,29%,30%,29%,27%,29%,INFY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,5362,6026,6586,6134,5945,6215,6113,7975,6374,6516,6822,7038,6924,INFY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,12.74,14.31,15.70,14.77,14.32,14.97,14.71,19.20,15.34,15.67,16.39,16.93,16.66,INFY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,INFY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,211,107,226,191,349,371,503,528,640,732,911,1275,826,INOXWIND.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,239,131,402,218,317,322,411,429,505,559,707,1021,643,INOXWIND.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,-28,-24,-175,-27,31,48,93,99,135,173,204,254,184,INOXWIND.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,-13%,-22%,-78%,-14%,9%,13%,18%,19%,21%,24%,22%,20%,22%,INOXWIND.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,2,0,3,-0,4,16,1,21,18,9,68,36,36,INOXWIND.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,82,90,94,65,70,64,63,57,56,44,34,35,34,INOXWIND.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,26,24,26,26,29,26,28,30,42,44,47,48,49,INOXWIND.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,-134,-137,-293,-119,-63,-26,3,31,55,94,190,208,138,INOXWIND.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,-3%,-3%,-2%,0%,2%,4%,45%,-4%,24%,4%,42%,8%,29%,INOXWIND.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,-130,-134,-288,-119,-65,-27,2,33,42,90,110,190,97,INOXWIND.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,-1.10,-1.13,-2.43,-0.85,-0.46,-0.17,0.01,0.34,0.07,0.67,0.84,1.35,0.61,INOXWIND.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,INOXWIND.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,541,528,547,616,639,619,634,614,606,558,610,726,702,INTELLECT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,429,446,451,479,492,501,504,477,487,477,491,524,560,INTELLECT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,113,82,96,137,148,118,131,136,119,81,119,202,142,INTELLECT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,21%,15%,18%,22%,23%,19%,21%,22%,20%,15%,19%,28%,20%,INTELLECT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,10,11,20,20,13,13,20,9,17,29,16,23,33,INTELLECT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,1,1,1,0,1,1,1,1,1,1,1,1,1,INTELLECT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,28,29,31,33,34,34,34,35,37,39,40,41,48,INTELLECT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,93,62,84,124,127,97,116,110,98,70,94,182,125,INTELLECT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,26%,26%,26%,26%,26%,27%,27%,33%,24%,25%,24%,25%,25%,INTELLECT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,69,46,63,91,94,71,85,73,75,52,71,136,94,INTELLECT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,5.09,3.38,4.58,6.68,6.87,5.16,6.17,5.33,5.43,3.82,5.06,9.75,6.80,INTELLECT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,INTELLECT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue +,4436,4719,5057,5195,5427,5825,6180,6634,6539,6854,7116,7635,7387,IOB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,2681,2764,2784,2917,3102,3477,3780,3868,4096,4315,4324,4510,4639,IOB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,1953,2585,2664,2822,2621,2829,2583,4049,2738,3191,2852,3152,2714,IOB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financing Profit,-198,-630,-391,-544,-296,-481,-183,-1283,-295,-652,-60,-27,34,IOB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financing Margin %,-4%,-13%,-8%,-10%,-5%,-8%,-3%,-19%,-5%,-10%,-1%,-0%,0%,IOB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,595,1135,951,1436,807,1117,1263,2479,1033,1636,1299,1581,1480,IOB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0,IOB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,397,505,560,891,511,636,1080,1196,739,984,1239,1554,1515,IOB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,1%,1%,1%,26%,1%,1%,33%,32%,14%,21%,29%,32%,27%,IOB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,393,500,555,656,504,627,724,810,649,780,875,1092,1178,IOB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,0.21,0.26,0.29,0.35,0.27,0.33,0.38,0.43,0.34,0.41,0.46,0.57,0.61,IOB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross NPA %,,,,,,,,,,,,,,IOB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,,IOB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,IOB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,223411,208757,205715,203872,198551,179246,199906,198650,193845,174976,194014,195270,192341,IOC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,217996,205477,201411,186236,174851,156075,183172,186675,183923,171509,186442,180241,179073,IOC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,5415,3280,4304,17637,23700,23171,16733,11975,9921,3467,7573,15029,13267,IOC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,2%,2%,2%,9%,12%,13%,8%,6%,5%,2%,4%,8%,7%,IOC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,994,1031,1731,1368,970,829,1916,1686,1102,2556,1936,1519,1732,IOC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,1908,1554,2122,1957,1743,1977,1958,2147,2080,2546,2458,2178,2070,IOC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,3158,3283,3451,3288,3476,3610,4686,4094,4103,4065,4284,4325,4179,IOC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,1344,-527,462,13759,19450,18413,12005,7420,4841,-589,2766,10045,8750,IOC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,34%,73%,-93%,21%,24%,26%,23%,26%,23%,-24%,22%,17%,22%,IOC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,883,-910,890,10841,14735,13713,9225,5488,3723,-449,2147,8368,6808,IOC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,-0.20,-0.70,0.55,7.29,10.22,9.29,6.39,3.65,2.50,-0.12,1.50,5.75,4.83,IOC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,IOC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,1586,1601,1546,1512,1585,2034,2053,2033,2093,2355,2245,2247,2309,IPCALAB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,1317,1341,1330,1331,1278,1673,1722,1711,1700,1913,1782,1818,1892,IPCALAB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,269,260,216,181,308,361,331,322,393,441,463,429,416,IPCALAB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,17%,16%,14%,12%,19%,18%,16%,16%,19%,19%,21%,19%,18%,IPCALAB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,22,36,31,36,45,-1,91,-118,21,26,20,-179,33,IPCALAB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,7,9,11,18,31,44,33,29,24,23,17,22,19,IPCALAB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,62,64,67,70,69,90,100,98,99,100,98,100,100,IPCALAB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,223,223,169,129,252,225,289,77,290,345,368,128,331,IPCALAB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,33%,35%,32%,37%,34%,39%,23%,96%,31%,29%,25%,49%,29%,IPCALAB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,145,146,110,78,164,136,221,1,199,246,276,64,233,IPCALAB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,5.64,5.67,4.25,3.02,6.42,5.72,7.09,2.35,7.58,9.05,9.78,2.67,9.19,IPCALAB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,IPCALAB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,1925,1343,1514,1620,1634,1745,1969,2061,1853,1586,2025,2149,2099,IRB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,897,702,782,898,910,1026,1150,1307,1049,903,1041,1151,1147,IRB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,1027,641,732,722,724,719,819,755,804,683,984,998,952,IRB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,53%,48%,48%,45%,44%,41%,42%,37%,43%,43%,49%,46%,45%,IRB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,71,96,56,79,111,130,109,443,119,166,5869,69,66,IRB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,385,389,367,373,381,435,433,615,439,434,461,458,462,IRB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,203,192,215,222,237,233,251,274,255,231,265,286,269,IRB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,510,155,206,205,217,182,243,309,229,183,6127,323,286,IRB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,29%,45%,31%,37%,38%,47%,23%,39%,39%,46%,2%,33%,29%,IRB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,363,85,141,130,134,96,187,189,140,100,6026,215,202,IRB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,0.60,0.14,0.23,0.22,0.22,0.16,0.31,0.31,0.23,0.17,9.98,0.36,0.34,IRB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,IRB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,2002,2239,2347,3781,2764,2987,2930,3787,2287,2448,2613,3412,1786,IRCON.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,1842,2039,2190,3598,2513,2771,2671,3470,2037,2247,2481,3158,1586,IRCON.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,160,200,156,183,251,216,259,317,251,201,132,254,200,IRCON.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,8%,9%,7%,5%,9%,7%,9%,8%,11%,8%,5%,7%,11%,IRCON.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,79,81,75,186,64,177,119,107,107,142,86,103,124,IRCON.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,29,31,30,33,33,37,37,41,48,53,56,62,75,IRCON.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,24,24,24,36,19,27,27,27,27,28,31,32,37,IRCON.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,186,226,178,301,263,328,314,356,282,262,132,263,212,IRCON.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,22%,23%,-7%,15%,29%,24%,22%,31%,20%,22%,35%,19%,22%,IRCON.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,145,174,190,256,187,251,245,247,224,206,86,212,164,IRCON.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,1.54,1.85,2.02,2.73,1.99,2.67,2.60,2.62,2.38,2.19,0.92,2.24,1.75,IRCON.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,IRCON.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,,,,965,1002,991,1118,1155,1118,1064,1225,1269,1160,IRCTC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,,,,640,659,625,724,792,743,691,808,883,762,IRCTC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,,,,325,343,367,394,362,375,373,417,385,397,IRCTC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,,,,34%,34%,37%,35%,31%,34%,35%,34%,30%,34%,IRCTC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,,,,65,-13,47,31,41,54,60,57,107,61,IRCTC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,,,,4,4,4,5,5,3,3,3,8,4,IRCTC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,,,,11,14,14,14,16,14,13,13,12,12,IRCTC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,,,,375,312,395,406,382,412,417,457,472,442,IRCTC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,,,,26%,26%,25%,26%,26%,25%,26%,25%,24%,25%,IRCTC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,,,,279,232,295,300,284,308,308,341,358,331,IRCTC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,,,,3.48,2.90,3.68,3.75,3.55,3.85,3.85,4.26,4.48,4.13,IRCTC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,IRCTC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,,,,,,,,,,,,,,IRFC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,,,,,,,,,,,,,,IRFC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,,,,,,,,,,,,,,IRFC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,,,,,,,,,,,,,,IRFC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,,,,,,,,,,,,,,IRFC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,,,,,,,,,,,,,,IRFC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,,,,,,,,,,,,,,IRFC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,,,,,,,,,,,,,,IRFC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,,,,,,,,,,,,,,IRFC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,,,,,,,,,,,,,,IRFC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,IRFC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,18489,17108,17705,17635,17164,17774,17195,17038,17778,19990,18790,18765,21495,ITC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,12412,10849,11000,11011,10494,11320,10985,10736,11233,13438,12428,12246,14678,ITC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,6077,6259,6705,6624,6670,6454,6210,6302,6545,6552,6362,6519,6816,ITC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,33%,37%,38%,38%,39%,36%,36%,37%,37%,33%,34%,35%,32%,ITC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,321,455,595,683,722,674,820,868,771,690,803,15391,751,ITC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,9,13,9,12,10,10,12,11,10,15,10,11,16,ITC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,438,462,447,461,442,453,384,385,403,416,416,411,423,ITC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,5950,6239,6844,6833,6940,6665,6635,6774,6903,6811,6740,21489,7128,ITC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,25%,25%,26%,24%,25%,26%,19%,23%,25%,26%,26%,8%,25%,ITC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,4472,4682,5080,5243,5190,4965,5407,5191,5177,5054,5013,19808,5343,ITC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,3.56,3.73,4.03,4.16,4.10,3.93,4.28,4.10,4.08,3.99,3.94,15.76,4.19,ITC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,ITC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,13045,13521,12452,13692,12588,12250,11701,13487,13618,11213,11751,13183,12294,JINDALSTEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,9607,11590,10075,11505,9960,9965,8859,11042,10779,9013,9567,10922,9289,JINDALSTEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,3439,1931,2377,2187,2628,2285,2843,2444,2839,2200,2184,2262,3006,JINDALSTEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,26%,14%,19%,16%,21%,19%,24%,18%,21%,20%,19%,17%,24%,JINDALSTEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,866,-898,-361,-138,55,32,35,35,34,35,26,-1158,30,JINDALSTEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,364,365,346,371,329,329,315,321,332,326,313,342,297,JINDALSTEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,596,614,608,873,588,604,636,995,683,696,698,691,722,JINDALSTEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,3344,54,1062,805,1767,1384,1927,1164,1859,1213,1199,72,2018,JINDALSTEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,17%,-304%,51%,42%,4%,-0%,-0%,20%,28%,29%,21%,523%,26%,JINDALSTEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,2771,219,518,466,1692,1390,1928,933,1338,860,951,-304,1496,JINDALSTEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
